Date,CA,CAQF,CAName,Population,PopulationQF,Dose,DoseQF,NumberVaccinated,NumberVaccinatedQF,PercentCoverage,PercentCoverageQF,CumulativeNumberVaccinated,CumulativeNumberVaccinatedQF,CumulativePercentCoverage,CumulativePercentCoverageQF
20201208,S12000036,"",City of Edinburgh,445863,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000038,"",Renfrewshire,148833,"",Dose 1,"",12,"",0.008062728,"",12,"",0.008062728,""
20201208,S12000038,"",Renfrewshire,148833,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000039,"",West Dunbartonshire,73283,"",Dose 1,"",9,"",0.012281157,"",9,"",0.012281157,""
20201208,S12000039,"",West Dunbartonshire,73283,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000040,"",West Lothian,147606,"",Dose 1,"",151,"",0.102299365,"",151,"",0.102299365,""
20201208,S12000040,"",West Lothian,147606,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000041,"",Angus,97055,"",Dose 1,"",15,"",0.015455154,"",15,"",0.015455154,""
20201208,S12000041,"",Angus,97055,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000042,"",Dundee City,125276,"",Dose 1,"",17,"",0.013570037,"",17,"",0.013570037,""
20201208,S12000042,"",Dundee City,125276,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000045,"",East Dunbartonshire,89242,"",Dose 1,"",24,"",0.026893167,"",24,"",0.026893167,""
20201208,S12000045,"",East Dunbartonshire,89242,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000047,"",Fife,308998,"",Dose 1,"",80,"",0.025890135,"",80,"",0.025890135,""
20201208,S12000047,"",Fife,308998,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000048,"",Perth and Kinross,127529,"",Dose 1,"",28,"",0.02195579,"",28,"",0.02195579,""
20201208,S12000048,"",Perth and Kinross,127529,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000049,"",Glasgow City,532454,"",Dose 1,"",64,"",0.012019818,"",64,"",0.012019818,""
20201208,S12000049,"",Glasgow City,532454,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S12000050,"",North Lanarkshire,278534,"",Dose 1,"",34,"",0.012206768,"",34,"",0.012206768,""
20201208,S12000050,"",North Lanarkshire,278534,"",Dose 2,"",0,"",0,"",0,"",0,""
20201209,"",:,Unknown,"",z,Dose 1,"",9,"","",z,11,"","",z
20201209,"",:,Unknown,"",z,Dose 2,"",0,"","",z,0,"","",z
20201209,S12000005,"",Clackmannanshire,42594,"",Dose 1,"",96,"",0.225383857,"",164,"",0.385030756,""
20201209,S12000005,"",Clackmannanshire,42594,"",Dose 2,"",0,"",0,"",0,"",0,""
20201209,S12000006,"",Dumfries and Galloway,125617,"",Dose 1,"",68,"",0.0541328,"",101,"",0.08040313,""
20201209,S12000006,"",Dumfries and Galloway,125617,"",Dose 2,"",0,"",0,"",0,"",0,""
20201209,S12000008,"",East Ayrshire,100957,"",Dose 1,"",136,"",0.134710817,"",178,"",0.176312688,""
20201209,S12000008,"",East Ayrshire,100957,"",Dose 2,"",0,"",0,"",0,"",0,""
20201209,S12000010,"",East Lothian,87390,"",Dose 1,"",178,"",0.203684632,"",276,"",0.315825609,""
20201209,S12000010,"",East Lothian,87390,"",Dose 2,"",0,"",0,"",0,"",0,""
20201209,S12000011,"",East Renfrewshire,76005,"",Dose 1,"",34,"",0.044733899,"",48,"",0.06315374,""
20201209,S12000011,"",East Renfrewshire,76005,"",Dose 2,"",0,"",0,"",0,"",0,""
20201209,S12000014,"",Falkirk,132778,"",Dose 1,"",382,"",0.287698263,"",665,"",0.500835982,""
20201209,S12000014,"",Falkirk,132778,"",Dose 2,"",0,"",0,"",0,"",0,""
20201209,S12000017,"",Highland,196794,"",Dose 1,"",58,"",0.029472443,"",59,"",0.029980589,""
20201209,S12000017,"",Highland,196794,"",Dose 2,"",0,"",0,"",0,"",0,""
20201209,S12000018,"",Inverclyde,65197,"",Dose 1,"",14,"",0.021473381,"",19,"",0.029142445,""
20201209,S12000018,"",Inverclyde,65197,"",Dose 2,"",0,"",0,"",0,"",0,""
20201209,S12000019,"",Midlothian,74507,"",Dose 1,"",194,"",0.260378219,"",317,"",0.425463379,""
